Top_10_Drug,Top_10_Correlation,Bottom_10_Drug,Bottom_10_Correlation
ETHACRIDINE-LACTATE-MONOHYDRATE (BRD:BRD-K24715592-406-02-1),0.2792501070429035,BENZOYLSTAUROSPORINE (BRD:BRD-K13646352-001-03-8),-0.1782599984640124
SGI-1027 (BRD:BRD-K61228301-001-01-2),0.2659967297347286,RESIBUFOGENIN (BRD:BRD-K25970317-001-01-6),-0.1827848209578058
API-1 (BRD:BRD-K97840621-001-02-9),0.2329501145441659,EFINACONAZOLE (BRD:BRD-A30774155-001-01-2),-0.1835824058997076
PHA-767491 (BRD:BRD-K50000283-001-04-4),0.2216937614854975,FLIBANSERIN (BRD:BRD-K33637378-001-01-7),-0.1846912223935014
PYROXAMIDE (BRD:BRD-K11663430-001-02-3),0.2181053501184298,BIS(MALTOLATO)OXOVANADIUM(IV) (BRD:BRD-K16180792-001-01-7),-0.1857710218192289
ARQ-092 (BRD:BRD-K60171656-001-01-6),0.2151611585035708,VINDESINE (BRD:BRD-K59753975-001-02-6),-0.1953564906996496
INX-08189 (BRD:BRD-K00004752-001-01-9),0.2053247157948675,VELBAN (BRD:BRD-K06519765-001-01-1),-0.215125280803654
TASELISIB (BRD:BRD-K44844162-001-01-6),0.202071382251149,VERUBULIN (BRD:BRD-K42673188-001-01-1),-0.2225649839460802
OSIMERTINIB (BRD:BRD-K42805893-001-04-9),0.2002986221647196,BNC105 (BRD:BRD-K20468903-001-01-6),-0.244551317717281
3-DEAZANEPLANOCIN-A (BRD:BRD-K77791657-003-01-7),0.1947134860556642,CHLORIDINE (BRD:BRD-K88429204-001-35-1),-0.2564740245625759
