Property,Category,Test Type,T-Statistic,P-Value,Effect Size,Group Mean,Comparison Mean
AUTOCORR2D_121,Top 10,Mann-Whitney U,42243.0,0.02520318134207185,-13.066933066933068,0.014699999999999996,-0.13766611074049367
SlogP_VSA12,Top 10,Mann-Whitney U,38929.5,0.04674123811996966,-11.963536463536464,10.615189706,5.490538365523682
fr_nitro,Top 10,Mann-Whitney U,35169.0,0.0007113263601486957,-10.711288711288711,0.2,0.028685790527018012
fr_thiazole,Top 10,Mann-Whitney U,35052.0,0.0019806000859244628,-10.672327672327672,0.2,0.032354903268845894
fr_quatN,Top 10,Mann-Whitney U,32577.0,0.016996450427625667,-9.848151848151849,0.1,0.015343562374916611
AUTOCORR2D_144,Top 10,Mann-Whitney U,19032.0,0.04552509155513188,-5.337662337662338,-0.2142,-0.08827785190126752
NumAromaticHeterocycles,Bottom 10,Mann-Whitney U,45525.5,0.002251997427753489,-14.16000666000666,1.8,0.8193795863909273
AUTOCORR2D_118,Bottom 10,Mann-Whitney U,44383.0,0.008564315829662198,-13.77955377955378,0.1567,-0.02235406937958639
AUTOCORR2D_134,Bottom 10,Mann-Whitney U,41571.5,0.034363849177578634,-12.843323343323343,0.14070000000000002,-0.015033188792528353
EState_VSA5,Bottom 10,Mann-Whitney U,41350.5,0.03591649459155189,-12.76973026973027,20.375302577,13.956136989205136
NumHeterocycles,Bottom 10,Mann-Whitney U,41296.0,0.03309766427314812,-12.751581751581751,2.2,1.5013342228152102
fr_Ar_N,Bottom 10,Mann-Whitney U,40589.0,0.03706628422932179,-12.516150516150516,2.1,1.1767845230153435
PEOE_VSA5,Bottom 10,Mann-Whitney U,37831.5,0.016730645262751764,-11.597902097902098,5.0254208764,1.5920123509816544
fr_thiazole,Bottom 10,Mann-Whitney U,35052.0,0.0019806000859244628,-10.672327672327672,0.2,0.032354903268845894
fr_nitroso,Bottom 10,Mann-Whitney U,32958.0,1.442848638494738e-27,-9.975024975024976,0.1,0.00066711140760507
fr_aldehyde,Bottom 10,Mann-Whitney U,32837.5,1.403243455615046e-05,-9.934898434898434,0.1,0.004836557705136758
fr_phos_acid,Bottom 10,Mann-Whitney U,32792.0,0.00018645815039739156,-9.91974691974692,0.1,0.006837891927951968
fr_phos_ester,Bottom 10,Mann-Whitney U,32792.0,0.00018645814836393848,-9.91974691974692,0.1,0.006504336224149433
AUTOCORR2D_158,Bottom 10,Mann-Whitney U,19216.0,0.049436891147292175,-5.398934398934399,0.7611000000000001,0.9674147765176784
AUTOCORR2D_119,Bottom 10,Mann-Whitney U,18442.0,0.03517174192549468,-5.141192141192141,-0.17200000000000001,-0.046689292861907934
AUTOCORR2D_103,Bottom 10,Mann-Whitney U,18277.0,0.03263733165483925,-5.086247086247086,-0.14810000000000004,-0.048272348232154774
AUTOCORR2D_166,Bottom 10,Mann-Whitney U,15344.0,0.007548797075478788,-4.10955710955711,0.6985999999999999,0.9735612074716478
PEOE_VSA4,Top 10 vs Bottom 10,Mann-Whitney U,28.5,0.04980561972633176,-1.85,0.4983978521,4.346773258400001
AUTOCORR2D_118,Top 10 vs Bottom 10,t-test,-2.2836329039590826,0.03507257543085385,1.2283632903959083,-0.05539999999999999,0.1567
