Top_10_Drug,Top_10_Correlation,Bottom_10_Drug,Bottom_10_Correlation
VU0238429 (BRD:BRD-K24187789-001-01-7),0.2708510415733922,GSK3117391 (BRD:BRD-K00004614-001-01-9),-0.1570284748398904
ARTESUNATE (BRD:BRD-K54634444-001-05-9),0.2358548709208899,TETRANDRINE (BRD:BRD-K08078237-001-19-8),-0.1608630488146705
AV-412 (BRD:BRD-K23190681-001-01-1),0.2291415527104661,ATIPRIMOD (BRD:BRD-K38527262-300-01-0),-0.1658229348375193
POLYDATIN (BRD:BRD-K43236057-001-07-1),0.2226599379689256,YC-1 (BRD:BRD-K60476892-001-17-9),-0.1823356902421258
NAMPT-IN-1 (BRD:BRD-K18280217-001-01-0),0.2218513065505795,FLI-06 (BRD:BRD-A44500574-001-01-8),-0.2150822084402097
BX-912 (BRD:BRD-K49669041-001-08-4),0.2129293335231329,ITE (BRD:BRD-K60298136-001-03-3),-0.2211067070406553
CID-5458317 (BRD:BRD-A08840375-001-01-3),0.2114193217393566,TRETAZICAR (BRD:BRD-K08748705-001-08-2),-0.2305179148846332
STF-31 (BRD:BRD-K22477529-001-02-7),0.2111136450998457,PHORTRESS (BRD:BRD-K74558903-300-01-5),-0.2355193183158617
AURANOFIN (BRD:BRD-K45995181-001-04-6),0.2038782601309482,ONCRASIN-1 (BRD:BRD-K43449605-001-01-0),-0.2405184072039795
GPP-78 (BRD:BRD-K83289131-003-01-0),0.2009861678495242,NU-6027 (BRD:BRD-K03294269-001-08-0),-0.2562621082678682
