Property,Category,Test Type,T-Statistic,P-Value,Effect Size,Group Mean,Comparison Mean
AUTOCORR2D_138,Top 10,Mann-Whitney U,43929.0,0.01089633876932678,-13.628371628371628,0.185,0.05872698465643763
AUTOCORR2D_97,Top 10,Mann-Whitney U,43865.5,0.011262619313811426,-13.607226107226108,0.0496,-0.059529019346230824
AUTOCORR2D_95,Top 10,Mann-Whitney U,42634.0,0.02088336781265364,-13.197136197136198,87.87640000000002,66.29560373582389
AUTOCORR2D_96,Top 10,Mann-Whitney U,41810.0,0.030708243118696025,-12.922743922743923,76.8896,61.0660613742495
AUTOCORR2D_42,Top 10,Mann-Whitney U,41792.5,0.03108141503453754,-12.916916416916417,5.8666,5.493742661774516
AUTOCORR2D_171,Top 10,Mann-Whitney U,40960.5,0.04505211782254577,-12.63986013986014,1.1288,0.9574412941961307
PEOE_VSA12,Top 10,Mann-Whitney U,40760.0,0.024406311986678954,-12.573093573093573,5.6176445648,3.8437214497266514
AUTOCORR2D_188,Top 10,Mann-Whitney U,18919.0,0.043501654034046634,-5.3000333000333,0.9174,1.0446359239492997
AUTOCORR2D_121,Bottom 10,Mann-Whitney U,44393.0,0.008520578683708918,-13.782883782883783,0.005899999999999992,-0.13765143428952636
AUTOCORR2D_105,Bottom 10,Mann-Whitney U,43526.5,0.01341533408219649,-13.494338994338994,-0.0014000000000000054,-0.13708922615076718
AUTOCORR2D_129,Bottom 10,Mann-Whitney U,41625.0,0.03354759619099593,-12.861138861138862,-0.0238,-0.14670013342228153
MinEStateIndex,Bottom 10,Mann-Whitney U,41464.0,0.03607619976256147,-12.807525807525808,-0.19604321620000004,-1.1652738196114076
NumSaturatedCarbocycles,Bottom 10,Mann-Whitney U,37452.5,0.02276743104646937,-11.471694971694971,0.5,0.25033355570380256
fr_ester,Bottom 10,Mann-Whitney U,35696.5,0.047635474974147704,-10.886946386946388,0.3,0.13425617078052035
fr_nitro_arom,Bottom 10,Mann-Whitney U,35488.0,1.2564233420026396e-05,-10.817515817515817,0.3,0.0195130086724483
fr_nitro,Bottom 10,Mann-Whitney U,35249.0,0.0005873903602311818,-10.737928737928739,0.3,0.028519012675116744
fr_thiazole,Bottom 10,Mann-Whitney U,35052.0,0.0019806000859244628,-10.672327672327672,0.2,0.032354903268845894
fr_nitroso,Bottom 10,Mann-Whitney U,32958.0,1.442848638494738e-27,-9.975024975024976,0.1,0.00066711140760507
fr_aldehyde,Bottom 10,Mann-Whitney U,32837.5,1.403243455615046e-05,-9.934898434898434,0.1,0.004836557705136758
fr_nitro_arom_nonortho,Bottom 10,Mann-Whitney U,32621.5,0.010548617770587215,-9.862970362970364,0.1,0.012341561040693796
NumUnspecifiedAtomStereoCenters,Bottom 10,Mann-Whitney U,32551.5,0.02180518597248051,-9.83966033966034,0.1,0.017678452301534357
AUTOCORR2D_117,Bottom 10,Mann-Whitney U,18673.5,0.03904779913161409,-5.218281718281719,-0.1478,-0.04436407605070047
AUTOCORR2D_130,Bottom 10,Mann-Whitney U,17812.5,0.026362455539007703,-4.931568431568431,-0.0504,0.06034523015343562
AUTOCORR2D_1,Top 10 vs Bottom 10,Mann-Whitney U,80.0,0.025748080821108063,-7.0,3.7552,3.4311
AUTOCORR2D_42,Top 10 vs Bottom 10,Mann-Whitney U,78.0,0.03763531378731424,-6.8,5.8666,5.333500000000001
AUTOCORR2D_54,Top 10 vs Bottom 10,Mann-Whitney U,77.0,0.04515456962427901,-6.7,6.4673,0.3867
AUTOCORR2D_141,Top 10 vs Bottom 10,t-test,3.2741662030809264,0.004284838025539597,0.6725833796919074,0.008499999999999999,-0.1525
AUTOCORR2D_138,Top 10 vs Bottom 10,t-test,2.923913098638394,0.00906513588265465,0.7076086901361606,0.185,0.019000000000000003
AUTOCORR2D_58,Top 10 vs Bottom 10,t-test,2.492992800199321,0.024240176181575555,0.7507007199800679,0.4838,0.2793
AUTOCORR2D_74,Top 10 vs Bottom 10,t-test,2.3232624624836653,0.03581747297864044,0.7676737537516335,1.5977999999999999,0.8732
AUTOCORR2D_2,Top 10 vs Bottom 10,t-test,2.238010204400786,0.038101081619925266,0.7761989795599213,4.075200000000001,3.7603999999999997
AUTOCORR2D_90,Top 10 vs Bottom 10,t-test,2.2092704123386078,0.04038259763672467,0.7790729587661392,91.5822,59.1469
AUTOCORR2D_125,Top 10 vs Bottom 10,t-test,2.1439150861508387,0.046790747658783244,0.7856084913849162,-0.028299999999999992,-0.1339
AUTOCORR2D_89,Top 10 vs Bottom 10,t-test,2.1072380374291275,0.04944246227484987,0.7892761962570872,55.07340000000001,37.28830000000001
AUTOCORR2D_118,Top 10 vs Bottom 10,t-test,-2.1486995957288815,0.045868655895157824,1.2148699595728882,-0.0858,0.054700000000000006
VSA_EState4,Top 10 vs Bottom 10,t-test,-2.267105740862669,0.043264438147557614,1.226710574086267,1.7437839053000002,5.1386842574
MinEStateIndex,Top 10 vs Bottom 10,t-test,-2.3266577990036224,0.040669085642493656,1.2326657799003622,-1.5999900606,-0.19604321620000004
AUTOCORR2D_189,Top 10 vs Bottom 10,t-test,-2.836009979131774,0.011635670266204042,1.2836009979131773,0.9401999999999999,1.1575
