Top_10_Drug,Top_10_Correlation,Bottom_10_Drug,Bottom_10_Correlation
SU3327 (BRD:BRD-K32730239-001-01-0),0.3259894686261806,R406 (BRD:BRD-K20285085-001-07-1),-0.1436253095600095
BISINDOLYLMALEIMIDE-IX (BRD:BRD-K06543683-066-02-1),0.2831576603456083,DECERNOTINIB (BRD:BRD-A95300432-001-01-3),-0.145261898435405
AURANOFIN (BRD:BRD-K45995181-001-04-6),0.2379227743792985,CURCUMOL (BRD:BRD-K41933240-001-02-4),-0.1489460605514681
MENADIONE (BRD:BRD-K78126613-001-28-5),0.2288049574965669,RITA (BRD:BRD-K00317371-001-06-1),-0.152602050728522
NSC-663284 (BRD:BRD-K03109492-001-02-2),0.2175190058730146,RUXOLITINIB-(S) (BRD:BRD-K19601669-001-03-5),-0.1540808786230275
TOLONIUM (BRD:BRD-K94882685-003-10-0),0.2167015867823712,ONCRASIN-1 (BRD:BRD-K43449605-001-01-0),-0.1567199611719817
BENZETHONIUM (BRD:BRD-K72723676-003-17-8),0.2163515682726959,FOSTAMATINIB (BRD:BRD-K85178109-001-02-3),-0.1588670833741223
LY3009120 (BRD:BRD-K38385169-001-04-5),0.2112745922898706,NU-6027 (BRD:BRD-K03294269-001-08-0),-0.1600343441875142
BI-78D3 (BRD:BRD-K73982490-001-02-9),0.2083561271921065,PHORTRESS (BRD:BRD-K74558903-300-01-5),-0.1655957863278448
ATORVASTATIN (BRD:BRD-K69726342-238-02-4),0.2071113497235669,ITE (BRD:BRD-K60298136-001-03-3),-0.1815707638023712
