Gene,Drug,Pearson_Correlation,id
ABCC4,ETHACRIDINE-LACTATE-MONOHYDRATE (BRD:BRD-K24715592-406-02-1),0.27925010704290354,BRD-K24715592
ABCC4,SGI-1027 (BRD:BRD-K61228301-001-01-2),0.2659967297347286,BRD-K61228301
ABCC4,API-1 (BRD:BRD-K97840621-001-02-9),0.23295011454416595,BRD-K97840621
ABCC4,PHA-767491 (BRD:BRD-K50000283-001-04-4),0.22169376148549755,BRD-K50000283
ABCC4,PYROXAMIDE (BRD:BRD-K11663430-001-02-3),0.2181053501184298,BRD-K11663430
ABCC4,ARQ-092 (BRD:BRD-K60171656-001-01-6),0.21516115850357082,BRD-K60171656
ABCC4,INX-08189 (BRD:BRD-K00004752-001-01-9),0.2053247157948675,BRD-K00004752
ABCC4,TASELISIB (BRD:BRD-K44844162-001-01-6),0.202071382251149,BRD-K44844162
ABCC4,OSIMERTINIB (BRD:BRD-K42805893-001-04-9),0.20029862216471966,BRD-K42805893
ABCC4,3-DEAZANEPLANOCIN-A (BRD:BRD-K77791657-003-01-7),0.19471348605566427,BRD-K77791657
ABCC4,CGS-15943 (BRD:BRD-K49049886-001-08-7),0.1904924832380039,BRD-K49049886
ABCC4,U-18666A (BRD:BRD-K22025381-003-01-9),0.18787896629688675,BRD-K22025381
ABCC4,AZD8931 (BRD:BRD-K98572433-001-02-9),0.18705330423484026,BRD-K98572433
ABCC4,LAPATINIB (BRD:BRD-K19687926-379-07-4),0.17796142907360796,BRD-K19687926
ABCC4,ELACESTRANT (BRD:BRD-K00003295-300-01-9),0.17621257451718675,BRD-K00003295
ABCC4,CITARINOSTAT (BRD:BRD-K00003202-001-01-9),0.17282065140799738,BRD-K00003202
ABCC4,TCS-2210 (BRD:BRD-K19958299-001-02-9),0.1726626496790589,BRD-K19958299
ABCC4,A-1065-5 (BRD:BRD-K87124298-001-03-4),0.17227666924171425,BRD-K87124298
ABCC4,3-DEAZANEPLANOCIN-A (BRD:BRD-K77791657-001-01-1),0.1714541448024208,BRD-K77791657
ABCC4,GEFITINIB (BRD:BRD-K64052750-001-17-5),0.16770239204705006,BRD-K64052750
ABCC4,NITHIAMIDE (BRD:BRD-K39467894-001-06-7),0.16700686097966722,BRD-K39467894
ABCC4,TYRPHOSTIN-AG-1478 (BRD:BRD-K68336408-001-10-9),0.16311692964052263,BRD-K68336408
ABCC4,ONO-4059 (BRD:BRD-A13689093-001-01-8),0.1618138013162341,BRD-A13689093
ABCC4,PARICALCITOL (BRD:BRD-K60585088-001-01-5),0.16106311628578043,BRD-K60585088
ABCC4,BERBERINE (BRD:BRD-K14796088-003-26-8),0.15992071961591706,BRD-K14796088
