Gene,Drug,Pearson_Correlation,id
ABCC3,GPP-78 (BRD:BRD-K83289131-003-01-0),0.3369209542140553,BRD-K83289131
ABCC3,ICG-001 (BRD:BRD-K94455792-001-01-8),0.3303445745937574,BRD-K94455792
ABCC3,SU3327 (BRD:BRD-K32730239-001-01-0),0.3301904238679918,BRD-K32730239
ABCC3,NAMPT-IN-1 (BRD:BRD-K18280217-001-01-0),0.3289189282452247,BRD-K18280217
ABCC3,STF-31 (BRD:BRD-K22477529-001-02-7),0.3209074399910581,BRD-K22477529
ABCC3,OLDA (BRD:BRD-K95523387-001-09-6),0.31462664919166217,BRD-K95523387
ABCC3,MENADIONE (BRD:BRD-K78126613-001-28-5),0.30582288325148693,BRD-K78126613
ABCC3,PR-619 (BRD:BRD-K54395039-001-01-7),0.3042853083097879,BRD-K54395039
ABCC3,THIOMERSAL (BRD:BRD-K61443650-236-13-1),0.30396883118644163,BRD-K61443650
ABCC3,DIHYDROARTEMISININ (BRD:BRD-K62213621-001-01-6),0.29937022393626295,BRD-K62213621
ABCC3,OCTENIDINE (BRD:BRD-K04568635-300-01-4),0.2884601694689774,BRD-K04568635
ABCC3,BISINDOLYLMALEIMIDE-IX (BRD:BRD-K06543683-066-02-1),0.28227527779656386,BRD-K06543683
ABCC3,CHLORMIDAZOLE (BRD:BRD-K60443845-001-08-6),0.28035730463550157,BRD-K60443845
ABCC3,ACY-1215 (BRD:BRD-K82928847-001-04-7),0.27817437327000183,BRD-K82928847
ABCC3,UNBS-5162 (BRD:BRD-K30933884-001-01-0),0.27576837446539737,BRD-K30933884
ABCC3,VISOMITIN (BRD:BRD-K00003375-004-01-9),0.27543658496197465,BRD-K00003375
ABCC3,KPT-9274 (BRD:BRD-K00004701-001-01-9),0.2735262387083881,BRD-K00004701
ABCC3,GMX1778 (BRD:BRD-K69832040-001-01-9),0.2681814444519034,BRD-K69832040
ABCC3,ELOXATIN (BRD:BRD-K78960041-001-05-7),0.2673680315813541,BRD-K78960041
ABCC3,VU0238429 (BRD:BRD-K24187789-001-01-7),0.26536249699322595,BRD-K24187789
ABCC3,BETA-LAPACHONE (BRD:BRD-K28061410-001-06-6),0.2643543737335545,BRD-K28061410
ABCC3,NSC-663284 (BRD:BRD-K03109492-001-02-2),0.2635769094594274,BRD-K03109492
ABCC3,CID-5458317 (BRD:BRD-A08840375-001-01-3),0.26182547427087466,BRD-A08840375
ABCC3,COH29 (BRD:BRD-K00003307-001-01-9),0.26078215869011095,BRD-K00003307
ABCC3,TOLONIUM (BRD:BRD-K94882685-003-10-0),0.2584569804495481,BRD-K94882685
ABCC3,GAMBOGIC-ACID (BRD:BRD-K08542803-001-03-1),0.2563719685319732,BRD-K08542803
ABCC3,ADAVIVINT (BRD:BRD-K00003499-001-01-9),0.25533070706748107,BRD-K00003499
